raw,processed,labels
Mau ganti nomer akun dana lama no nya hilang sudah di email di WA juga tidak ada tanggapan PAYAH dana,ganti nomer akun dana no hilang email whatsapp tanggapan payah dana,-1
Ketauan pake yang lain teman2 pake dana susah banget mau tarik tunai .tiap mau tarik tunai ke alfa dll pasti aja ada alesan gabisa tarik tunai nya .ğŸ˜¡,ketahuan pakai teman pakai dana susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,-1
"aneh, verifikasi KTP. katanya KTP gua palsu. SIM gua palsu. kalo KTP gw palsu gak mungkin gw bisa bikin SIM, bikin ATM bca, ATM bri dll. gak jelas nih aplikasi. yang bikin KTP tuh bukan gw tapi dari dinas dukcapil. sembarangan aja ngatain KTP gw palsu",aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas aplikasi ktp dinas dukcapil sembarangan mengatai ktp palsu,-1
Gwe kirim ke req masih proses belum ada konfirm masuk dari pihak dana tapi saldo udah k.potong aja.. gimana itu... dah gwe coba tlfn pihak dana gak ada respon njing... d.email slow respon tanpa kepastian asww,kirim request proses konfirm masuk pihak dana saldo potong coba tlfn pihak dana respon njing email slow respon kepastian asww,-1
gimana nih pihak ovo udah 1x24 jam saya ngisi pulsa pelanggan saya gak masuk2.. gagal enggak terkirim juga enggak.. layanan nya kurang memuaskan di ovo,pihak ovo jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan ovo,-1
"Gimana sih customer service nya, sibuk mulu gak dijawab jawab niat kgk sih emosi gw lama""l, udah lewat email, whatsapp sama aja kek anj-,)",customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,-1
"Suka bngt sama aplikasi LinkAja. bener2 gampang bngt buat digunakan. bisa bayar listrik, gojek, grabfood dan masih bnyk lainnya hanya dalam 1 aplikasi. buat yg pertama kali pake e-wallet, bisa bngt nyoba pake LinkAja",suka banget aplikasi linkaja benar gampang banget digunakan bayar listrik gojek grabfood aplikasi pertama kali pakai wallet banget mencoba pakai linkaja,1
"Sangat bagus! Dompet digital paling berguna dari semua dompet digital yang ada. Bisa all in one, semua pembayaran bisa hanya dengan satu dompet (LinkAja) jadi jauh lebih praktis.",bagus dompet digital berguna dompet digital all one pembayaran satu dompet linkaja jadi jauh praktis,1
"Ada apa dengan link aja? Hari ini tidak bisa dibuka sama sekali setelah top up saldo padahal sudah hapus dan install ulang bbrpa kali, sdh restart handphone juga, mohon penjelasan",link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,-1
"Maaf ini kok nomor saya ditolak gt ya ? Padahal saya tidak melakukan kesalahan.. Mohon diperbaiki atau gmn gt kak,, Padahal dulu suka banget linkaja,, kok tiba-tiba gak bisa :(",maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget linkaja tiba tiba,-1
Saya kecewa. Biasanya bagus2 aja... sekarang Ini gimana dana ya.. parah banget. Respons dong. Telpon call centre penuh terus. . D suruh ngontek watsap. . Watsap cuma robot. Udah Top up tapi saldo gak nambah2. Email brkali2 juga telat respons. Mohon hati2 saja ke yang lainnya ya. Saya tunggu saldo saya saja. Pulsa sampai habis buat telpon call centre. Alhmdulillah saldo udh masuk setelah pantau trus email 2 harian. Muga gak trjadi gini lagi.,kecewa bagus dana parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,-1
"Sebelumnya bisa pake aplikasinya dgn sim nomor hp yg terdaftar di BCA dgn 
posisi bkn di sim 1 tp posisi sim 2, tapi knp sekarang nomor yg terdaftar 
hrs di sim 1?? Pake aplikasi BCA mobile aja ga masalah hmmm... Aplikasi yg 
aneh.. tidak tambah canggih tp malah tambah mundur...",pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai aplikasi baca mobile masalah hm aplikasi aneh tambah canggih tambah mundur,-1
"Aplikasi yang amazing sih ini, semua kebutuhanku berbau uang jadi simple. Bisa beli pulsa waktu mager pergi keluar rumah sih. Nahh lagi kalo disuruh nyokap beli token pulsa jd nggk ribet tinggal link link ajaa. Mau berangkat kerja nggk ada motor tinggal nge gojek aja klik link aja sampe kantor. Makan siang nggk bawa bekel tinggal ngegrab food aja sih dan pakai link aja lagi. Nah nahh bapak saya buka servis hp nih mau beli sparepart cuss klik link aja buat pembayarannya.",aplikasi amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,1
"Kenapa yah aplikasi saya tidak bisa untuk transaksi pengiriman uang, saya sudah email ke link aja nya , jawaban nya sudah di tanggapi dan sudah bisa di pakai transaksi, tpi nyata belum bisa . Tolong di perbaiki . Terimah kasih",ya aplikasi untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,-1
"Pas di buka malah tampil "" maaf, ponsel anda tidak bisa melakukan registrasi sakuku.hubungi bank BCA"". mohon perbaiki.!!!",pas tampil maaf ponsel melakukan registrasi sakuku hubungi bank baca perbaiki,-1
Bahkan baru buka pertama kali aja dah gagal memuat niat ngak sihh bikin aplikasi udah 2 hari masak gangguan mulu ngak bisa bisa di buka,pertama kali gagal memuat niat nggak aplikasi masak gangguan terus nggak,-1
"aku dr semalem mau isi pulsa ga bisa2.. mau coba kirim uang, harus upgrade dana premium.. di upgrade ke dana premium loading lama banget ujung2nya gagal.. kenapa kaya gitu si? perbaiki servernya dong jangan bikin org kecewa jadinya",semalem isi pulsa coba kirim uang upgrade dana premium upgrade dana premium loading banget gagal kayak perbaiki servernya orang kecewa jadinya,-1
Sangat membantu dan menguntungkan emang saya pernah transaksi saldo udah kapotong tapi kagak masuk. tapi menghubungi mail saldo dipulangin lagi pokoknya linkaja emang top,membantu menguntungkan transaksi saldo kapotong masuk menghubungi mail saldo dipulangin pokoknya linkaja top,1
"Link aja membuat urusan jadi mudah bisa transfer, bayar listrik, bayar PDAM, isi pulsa, dsb.",link membuat urusan jadi mudah transfer bayar listrik bayar pdam isi pulsa dsb,1
"Saya pengguna baru tolong penjelasannya karna saya kurang tau & paham apa kegunaan dari aplikasi ini, Mohon bantuain penjelasannya Sebelumnya saya trima ksh...",pengguna penjelasannya kurang tahu paham kegunaan aplikasi bantuain penjelasannya terima kasih,1
"Aplikasi nanggung bgt ,login pingerprint blm bisa, utk bayar dan topup indomaret alfamat ga bisa ,topup dari jenius gagal ga bisa jg, tf ke bca virtual ga bisa jg,menu nya ga lengkap pas2an, haduh nangung bgt ini yang buat app sekelas bca, plis benahin lagi lah",aplikasi nanggung banget login pingerprint untuk bayar topup indomaret alfamat topup jenius gagal tf baca virtual menu lengkap pas an aduh nangung banget app sekelas baca plis membenahi,-1
"Tapi saia mau tanya , kan Saia masukin uang di dana nah Saia juga masih pelajar belum ada KTP kan tapi yang paling bingungnya. 2 Minggu kemudian duit saya hangus yang tadinya 30.500 jadi 500 perak. Ini kenapa ya?",tanya masukkan uang dana pelajar ktp bingungnya minggu duit hangus jadi perak,-1
"Makin lama makin parah parah aja ini apk ovo , masaa udah satu minggu sistem sibuk melulu ,mau transfer malah enggak bisaa",parah parah aplikasi ovo masaa satu minggu sistem sibuk melulu transfer,-1
"Dapat sms, daftar/install aplikasi ini dapat kuota data 2 GB, udah daftar, bayar pakai sms, registrasi saja gak bisa, terus gak tau juga fungsinya ini apa, saya pastikan anda rugi kuota buat download, buang buang pulsa buat registrasi, ini urusan uang, hal penting malah kayak gini, malah kalah sama game online, kalo belum bisa jalan jangan memaksakan diri, yang rugi itu konsumen bos ku",sms daftar install aplikasi kuota data gb daftar bayar pakai sms registrasi terus tahu fungsinya pastikan rugi kuota download buang buang pulsa registrasi urusan uang penting kalah permainan onlen jalan memaksakan rugi konsumen bos ku,-1
Udah di update ke full servis udah 2 hari gak ada tanggapan dari pihak linkaja . Tercantup di linkaja 1 kali 24 jam dan iniudah 2 kali 24 jam gak ada respon. Disitu sangat mengecewakan.,update full servis tanggapan pihak linkaja tercantup linkaja kali jam iniudah kali jam respon disitu mengecewakan,-1
"kembalikan saldo dana saya pada tanggal 6 agustus jam 1 pagi saya beli pulsa 100k , riwayat transaksi tertulis kadaluarsa namun kenapa saldo tdk dikembalikan",kembalikan saldo dana tanggal agustus jam pagi beli pulsa riwayat transaksi tertulis kadaluarsa saldo dikembalikan,-1
"Tapi kenapa akhir2 ini jd susah login dg blsn sms blm dpt dproses,dcb lg bbrp saat kmudian msh ga bs mpe brp x instal ulang :(",akhir jadi susah login blsn sms dproses dcb kmudian instal ulang,-1
"Apk yg bagus banget sangatÂ² membantu saat keperluan mendadak bisa transfer dengan mudah tanpa ribet dan cepat apa lagi kalo pulsa listrik habis, pokok nya keren bangetâ€¦",aplikasi bagus banget membantu keperluan mendadak transfer mudah ribet cepat pulsa listrik habis pokok keren banget,1
"Dari pada aplikasi sebelah, mending pake ini. Se jelek2 nya ini .masih mending..sumpah beroo, harga juga gak begitu mahal, bahkan lebih murah2 ini klo mau buat bayar2.. top up juga cepet gak pake ribet...dah lah..gw mending pilih ini aja",aplikasi sebelah lebih baik pakai jelek lebih baik sumpah beroo harga mahal murah bayar top up cepat pakai ribet lebih baik pilih,1
"Aplikasi lumayan membantu, cuma beberapa kali top up di rekening udh kepotong kok gamasuk saldo link aja ya, aneh, malah bikin rugi.",aplikasi lumayan membantu kali top up rekening udah kepotong gamasuk saldo link aneh rugi,-1
"Sangat recomended sekali untuk aplikasi ini. Aplikasi yang sangat berguna buat saya. Karena disini banyak banget menu yang memudahkan saya untuk transaksi. Seperti : Transfer dan tarik tunai, beli pulsa dan data,asuransi,bayar listrik,PDAM sampai internet. Pembayarannya pun sangat simple no ribet ribet dan gak pakai lama. Cukup scan dan tunjukan token aplikasi langsung bayar. Kapan lagi bisa melakukan banyak transaksi dengan menggunakan satu aplikasi saja. Buat kalian pokoknya harus download.",recomended untuk aplikasi aplikasi berguna banget menu memudahkan untuk transaksi transfer tarik tunai beli pulsa data asuransi bayar listrik pdam internet pembayarannya simple no ribet ribet pakai cukup scan tunjukkan token aplikasi langsung bayar melakukan transaksi menggunakan satu aplikasi pokoknya download,1
"Maaf saya kasih bintang 2.. karna makin sini dana makinn lemotttt, masa mau transfer nunggu 1 jam dulu, tulisan kirim ga bisa di klik trus, mesti hapus dulu baru donload lagi dan itu pun butuh waktu lama..",maaf bintang dana makinn lambat masa transfer menunggu jam tulisan kirim klik terus mesti hapus donload butuh waktu,-1
"Ini saya gimana kartu saya hilang, Dan saya mau masuk akun ovo harus veripikasi karma habis login, ada jalan terbaik ga buat masuk ke akun ovo saya lagi soalnya kartu saya hilang, mohon petunjuk",kartu hilang masuk akun ovo veripikasi karma habis login jalan terbaik masuk akun ovo soalnya kartu hilang petunjuk,-1
Kenapa akun ku gak bisa di login Padahal masih ada saldo nya Kode salah terus padahal belom d ganti2 Dan ketika mau ganti pin tetap aja gak bisa Tolong dong min gimana saldo saya ğŸ™,akun ku login saldo kode salah terus ganti ganti pin tetap min saldo,-1
"Saya sudah berulang kali Upgride ke premium,photo KTP saya memang kurang jelas bukan kesalahan saya,itu dari Capil,mengurus KTP saja Sampai Mampus susahnya,sudah saya Lengkapi pasport juga,kemaren SIM juga,TOLONGLAH jangan Rumit gini.kenapa di aplikasi Lain KTP saya bisa digunakan. JANGAN SAMPAI PERSEPSi Orang buruk ke DANA!!!!",berulang kali upgride premium photo ktp kurang jelas kesalahan capil mengurus ktp mampus susahnya lengkapi paspojuga kemarin sim tolonglah rumit aplikasi ktp digunakan persepsi orang buruk dana,-1
"Mba tolong dong , masa bulan bulan ini setiap saya isi saldo dana saya lama banget proses nya , dan sekarang saya sudah top up lagi masa masih lama juga masuknya , tolong donk di tindaklanjuti",mbak masa bulan bulan isi saldo dana banget proses top up masa masuknya tindaklanjuti,-1
"Knp setelah proses pembayaran jam selalu nambah kasih limit donk biar kita main puas dan bahagia jika memang game ini menghasilkan, ini namanya waising time terimakasih",proses pembayaran jam bertambah limit main puas bahagia permainan menghasilkan namanya waising time terimakasih,-1
Kak..cara bayar PLN non Tagihan Listrik kq gk ada...mohon di lengkapiii menu p3mbayaran PLN,kak cara bayar pln non tagihan listrik gak lengkapi menu mbayaran pln,-1
Mau tanya apakah nmr sakuku itu bisa diganti?? Karna nmr a sdh tdak aktif dan ada sejumlah uang didalam.a...diminta verifikasi dan nmr a sdh tdak aktif,tanya nomor sakuku diganti nomor aktif sejumlah uang didalam diminta verifikasi nomor aktif,-1
"Aplikasi banyak cerita...suruh top up ini top up itu,dapat promo ini itu,giliran top up dibatasi...walah kalo mau membantu jgn tanggung2..",aplikasi cerita suruh top up top up promo giliran top up dibatasi walah membantu tanggung,-1
"Mau isi saldo pertama 2jta, tapi baca review di bulan Juli 2021 kebanyakan komplain. Ngeri jadinya.",isi saldo pertama jta baca review bulan juli kebanyakan komplain ngeri jadinya,-1
Klo ada bintang 0 gua kasih bintang 0 Respon nya kurang . Orng ga bisa masuk di suruh kirim data saldo ter akhir sma riwayat transaksi . Udh 2 hari ga bisa masuk . Mau gmna klanjutan nya ini aplikasi saya atas nama candra hendarsah sangat kecewa,bintang bintang respon kurang orang masuk suruh kirim data saldo ter akhir riwayat transaksi udah masuk gimana klanjutan aplikasi atas nama candra hendarsah kecewa,-1
Beruntung sekali bagi yang special orang ter kasih  menerima saku Ku melalui BCA tanda  â¤  ( cinta itu ber ragam loh ),beruntung special orang ter menerima saku ku baca tanda cinta ber ragam loh,-1
"Aplikasi OVO ini bisa digunakan untuk pembayaran kepentingan yang lain, semoga bermanfaat untuk orang banyak buat kepentingan pembayaran yang lain nya. Terima kasih atas segala perhatiannya ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™",aplikasi ovo digunakan untuk pembayaran kepentingan semoga bermanfaat untuk orang kepentingan pembayaran terima atas perhatiannya,1
"Kok setiap saya top up kok adminnya 1500 mahal amat mending ya kalo 500 itu nggak masalh tapi kurang nya kok banyak nggak kaya app yg lain seperti dana, link aja itu tidak ada biaya admin kok ovo ada sih? Apakah penghasilan dari app ovo ini kurang tolong dijawab developer sebelumnya tidak ada biaya admin",top up adminnya mahal lebih baik masalah kurang kayak app dana link biaya admin ovo penghasilan app ovo kurang dijawab developer biaya admin,-1
"Aplikasi ancrit ini kita ubah nomer hp sj ribet banget ,sdh dirubah lewat aplikasi masih disuruh tlp cs sampek habis 30rb plsa sy telp cs,& belum bisa login lg di nomer baru ...kecewa sy males dah pake OVO logout sj...",aplikasi ancrit ubah nomer handphone ribet banget dirubah lewat aplikasi disuruh telepon cs habis ribu pulsa telepon cs login nomer kecewa malas pakai ovo logout,-1
"Baru download semalam aplikasi masih bisa di buka tp ini hari terkunci kode pin salah, salah dari mana kode pin yg di masukkan jg sama dgn yg kemarin. Perbaiki dong aplikasinya klo mmg gak bisa di perbaiki mending di hapus kasihan dgn pengguna yg msh ada saldo atau melakukan pembelian dan pembayaran klo semua nyangkut di pihak ovo. Ingat kami ini cari uang dgn susah payah bukan mencuri. Tolong semua keluahan di tanggapi dgn serius. Ini masalah uang bukan sekedar aplikasi yg bermasalah.",download semalam aplikasi terkunci kode pin salah salah kode pin masukkan kemarin perbaiki aplikasinya perbaiki lebih baik hapus kasihan pengguna saldo melakukan pembelian pembayaran nyangkut pihak ovo ingat cari uang susah payah mencuri keluahan tanggapi serius masalah uang sekedar aplikasi bermasalah,-1
"Login akun ae di gawe mumet cok, wes komplain lewat opo ae malah di ubeng ubengno ae marai tambah mumet. Jane cs e iso menyelesaikan masalah pora nek raiso tutupen ae cok aplikasi dana merugikan banyak orang ğŸ¶ğŸ¶ğŸ¶",login akun kerja pusing cok wes komplain lewat ubeng ubengno marai tambah pusing jane cs iso menyelesaikan masalah pora nek raiso tutupen cok aplikasi dana merugikan orang,-1
"Kenapa yaa sudah 3 hari aplikasi Dana saya error. Setiap saya buka aplikasinya, selalu muncul notifikasi ""Dana tidak menanggapi"". Mohon bantuan perbaikannya.",ya aplikasi dana error aplikasinya muncul notifikasi dana menanggapi bantuan perbaikannya,-1
"Buset abis top up trus isi pulsa 200k malah ga kekirim2 parah, tp saldo udh kepotong pulsanya blm msk, saya mah mnta tanggung jawabnya aja",buset habis top up terus isi pulsa kekirim parah saldo udah kepotong pulsanya masuk mah minta tanggung jawabnya,-1
Sangat Kecewa.. Percuma punya saldo d dana tapi gk bisa di ambil. E-Ktp belum jadi tapi saya pake dokumen Lain (SIM C) Uda foto tapi Kok gagal trus..,kecewa punya saldo dana gak ambil ktp jadi pakai dokumen sim foto gagal terus,-1
"Aplikasi dompet digital yg bagus, Alhamdulillah verifikasi akun untuk upgrade ke dana premium sudah bisa meskipun awalnya tdk bisa verifikasi krn nik sudah terpakai padahal baru kali ini upgrade dana premium dgn nik, kedepannya bisa diperbaiki lagi apl dana ini agar penggunanya nyaman",aplikasi dompet digital bagus alhamdulillah verifikasi akun untuk upgrade dana premium awalnya verifikasi nik terpakai kali upgrade dana premium nik kedepannya diperbaiki apl dana penggunanya nyaman,1
"Ga bisa di buka , padahal udah bener pwnya Abis masukin pwnya pasti muncul ( Kata - kata anda ingin menghubungi Customer Service ? ) Pas di hubungi panggilan ini tidak dpat di lakukan ? Maksudnya gimana coba ? ***Dahlah saya turunin bintangnya dan uninstal***",benar pwnya habis masukkan pwnya muncul kata kata menghubungi customer service pas hubungi panggilan dpat lakukan maksudnya coba turunin bintangnya uninstal,-1
"Saya suka banget sama aplikasi ini. Aplikasi ini memudahkan saya untuk beli token listrik, beli pulsa, bayar gojek/grabfood. Pokoknya aplikasi ini membantu banget deh. Yuk segera download aplikasi ini !",suka banget aplikasi aplikasi memudahkan untuk beli token listrik beli pulsa bayar gojek grabfood pokoknya aplikasi membantu banget deh yuk download aplikasi,1
"Saya ingin melakukan upgrade ovo premier namun selalu gagal uplod foto e-KTP padahal kondisi e-KTP baik dan pencahayaan pun baik, mohon diperbaiki sistemnya, seperti aplikasi lain harusnya yang mempermudah penggunanya, maaf bintang 1",melakukan upgrade ovo premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya aplikasi mempermudah penggunanya maaf bintang,-1
"Aplikasi yg memudahkan trf antar bank, cuman yg kurang adalah masalah harga masih kalah jauh dengan harga di pasaran.",aplikasi memudahkan trf bank kurang masalah harga kalah jauh harga pasaran,1
Kalau log in ga bisa. Ada tulisan system sedang sibuk. Klik info aplikasi hapus data lalu log in lagi. Semoga membantu. Jangan selalu langsung menyalahkan pihak terkait. Toh kalian bacot aja tapi gabisa buat sendiri aplikasi dompet digital. Ketimbang bacot dan menghujat buat aja sendiri yang mix sesuai selera kalianğŸ¤£,log tulisan system sibuk klik informasi aplikasi hapus data log semoga membantu langsung menyalahkan pihak terkait banyak bicara tidak bisa aplikasi dompet digital ketimbang banyak bicara menghujat mix sesuai selera,-1
Insentif prakerja tgl 5 juni 2021 blm cair2 punya teman-teman pakai gopay dah cair semua,insentif prakerja tanggal juni cair punya teman teman pakai gopay cair,-1
"Tolong kenapa susah kirim uang? Muncul layanan sedang ditingkatkan dan anda dapat mencoba lagi beberapa saat"" tp kek gitu terus pdhl dh lama nunggu.",susah kirim uang muncul layanan ditingkatkan mencoba kayak terus deh menunggu,-1
"Baru install langsung top up, habis itu beli kuota internet. Saldonya kurang kuotanya gak masuk"" ğŸ˜‚ğŸ˜‚ğŸ˜‚ mantap sekali. Lapor via email gak ada respon ğŸ˜‚ Ini yg pertama dan terakhir bye bye",install langsung top up habis beli kuota internet saldonya kurang kuotanya masuk mantap lapor via email respon pertama terakhir bye bye,-1
"verfikasi gagal terus, akal-akalan BCA nih cuma mau ambil pulsa doang. Apanya yg bagus",verfikasi gagal terus akal akalan baca ambil pulsa doang apanya bagus,-1
"Aplikasinya bagus, namun sayang untuk bukti / faktur penjualan tidak bisa di edit.. Jdi kalo untuk pemakain pribadi enak... Namun kalo untuk jual, tidak dapat untng, karena bukti/faktur tidak bosa di edit",aplikasinya bagus sayang untuk bukti faktur penjualan edit jadi untuk pemakain pribadi enak untuk jual untng bukti faktur bosa edit,1
"Sebenernya agak kecewa sih..soalnya aku kan masih plajar mau punya penghasilan sendiri,,eh tau2 nya klo mau tarik tunai harus upgrade dulu ke premium, pdhl blm punya KTP, jd saldo dana yg aku kumpulin itu cuma sia2 doang,, aku minta kepada pihak dana nya supaya upgrade ke premium nya gk ush ribet bgt..byk jg peljr yg pkek apk dana, bukan cuma aku doangg.. supaya pengguna apk dana byk yg gk kecewa..btw tingkatkan lagii yaağŸ˜… Itu aja saran dari aku, thanks",kecewa soalnya plajar punya penghasilan eh tahu tarik tunai upgrade premium punya ktp jadi saldo dana kumpulin sia doang meminta pihak dana upgrade premium gak usah ribet banget peljr pakai aplikasi dana doangg pengguna aplikasi dana gak kecewa ngomong-ngomong tingkatkan ya saran terima kasih,-1
Mau beli paketan tidak bisa trs di cancel mlu.. emg akun saya kenapa.. saldo yg sudah ada sayang banget tdk bisa terpakai.. mau trf harus upgrade dlu payah,beli paketan terus batal malu akun saldo sayang banget terpakai trf upgrade payah,-1
"Menemukan aplikasi linkaja ini serasa menemukan jodoh, kenyamanan & keamanan. Mantap, pertahankan & terus kembangkan! Bisa digunakan untuk transaksi bayar di tokopedia, bayar bbm di mypertamina, ovo, gopay, bayar listrik, PDAM, pulsa, dll. Bahkan saya sudah gunakan untuk bayar tiket Kereta. Trima ksh linkaja.",menemukan aplikasi linkaja serasa menemukan jodoh kenyamanan keamanan mantap pertahankan terus kembangkan digunakan untuk transaksi bayar tokopedia bayar bbm mypertamina ovo gopay bayar listrik pdam pulsa dan lain-lain gunakan untuk bayar tiket kereta terima kasih linkaja,1
"Sangat membantu dalam aktivitas sehari hari saya. Makasih banyak LinkAja, agar tetap komitmen dalam menjaga layanan dan menjadi lebih kedepannya.",membantu aktivitas sehari terima kasih linkaja tetap komitmen menjaga layanan menjadi kedepannya,1
Tolong dong untuk top up bisa dilakukan di alfa atau indomart . . Agak susah juga kalo mau top up lewat bank atau yg laen . .,untuk top up dilakukan alfa indoma susah top up lewat bank,-1
