,raw,processed,labels
0,ganti nomer akun dana no hilang email whatsapp tanggapan payah dana,ganti nomer akun no hilang email whatsapp tanggapan payah,-1
1,ketahuan pakai teman pakai dana susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,ketahuan pakai teman pakai susah banget tarik tunai tarik tunai alfa dan lain-lain alesan tidak bisa tarik tunai,-1
2,aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas aplikasi ktp dinas dukcapil sembarangan mengatai ktp palsu,aneh verifikasi ktp katanya ktp palsu sim palsu ktp palsu sim atm baca atm bri dan lain-lain jelas ktp dinas dukcapil sembarangan mengatai ktp palsu,-1
3,kirim request proses konfirm masuk pihak dana saldo potong coba tlfn pihak dana respon njing email slow respon kepastian asww,kirim request proses konfirm masuk pihak saldo potong coba tlfn pihak respon njing email slow respon kepastian asww,-1
4,pihak ovo jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan ovo,pihak jam mengisi pulsa pelanggan masuk gagal terkirim layanan kurang memuaskan,-1
5,customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,customer service sibuk terus dijawab jawab niat emosi lewat email whatsapp kayak anjing,-1
6,suka banget aplikasi linkaja benar gampang banget digunakan bayar listrik gojek grabfood aplikasi pertama kali pakai wallet banget mencoba pakai linkaja,suka banget benar gampang banget digunakan bayar listrik gojek grabfood pertama kali pakai wallet banget mencoba pakai,1
7,bagus dompet digital berguna dompet digital all one pembayaran satu dompet linkaja jadi jauh praktis,bagus dompet digital berguna dompet digital all one pembayaran satu dompet jadi jauh praktis,1
8,link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,link dibuka top up saldo hapus install ulang kali restahandphone penjelasan,-1
9,maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget linkaja tiba tiba,maaf nomor ditolak melakukan kesalahan diperbaiki gimana kak suka banget tiba tiba,-1
10,kecewa bagus dana parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,kecewa bagus parah banget respons telpon call centre penuh terus suruh ngontek watsap watsap robot top up saldo bertambah email brkali terlambat respons hati tunggu saldo pulsa habis telpon call centre alhmdulillah saldo udah masuk pantau terus email harian moga terjadi,-1
11,pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai aplikasi baca mobile masalah hm aplikasi aneh tambah canggih tambah mundur,pakai aplikasinya sim nomor handphone terdaftar baca posisi sim posisi sim nomor terdaftar sim pakai baca mobile masalah hm aneh tambah canggih tambah mundur,-1
12,aplikasi amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,amazing kebutuhanku berbau uang jadi simple beli pulsa waktu malas pergi keluar rumah disuruh ibu beli token pulsa jadi ribet tinggal link link berangkat kerja motor tinggal nge gojek klik link kantor makan siang bawa bekel tinggal ngegrab food pakai link bapak servis handphone beli sparepacu klik link pembayarannya,1
13,ya aplikasi untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,ya untuk transaksi pengiriman uang email link jawaban tanggapi pakai transaksi nyata perbaiki terimah,-1
14,pas tampil maaf ponsel melakukan registrasi sakuku hubungi bank baca perbaiki,pas tampil maaf ponsel melakukan registrasi hubungi bank baca perbaiki,-1
15,pertama kali gagal memuat niat nggak aplikasi masak gangguan terus nggak,pertama kali gagal memuat niat nggak masak gangguan terus nggak,-1
16,semalem isi pulsa coba kirim uang upgrade dana premium upgrade dana premium loading banget gagal kayak perbaiki servernya orang kecewa jadinya,semalem isi pulsa coba kirim uang upgrade premium upgrade premium loading banget gagal kayak perbaiki servernya orang kecewa jadinya,-1
17,membantu menguntungkan transaksi saldo kapotong masuk menghubungi mail saldo dipulangin pokoknya linkaja top,membantu menguntungkan transaksi saldo kapotong masuk menghubungi mail saldo dipulangin pokoknya top,1
18,link membuat urusan jadi mudah transfer bayar listrik bayar pdam isi pulsa dsb,link membuat urusan jadi mudah transfer bayar listrik bayar pdam isi pulsa dsb,1
19,pengguna penjelasannya kurang tahu paham kegunaan aplikasi bantuain penjelasannya terima kasih,pengguna penjelasannya kurang tahu paham kegunaan bantuain penjelasannya terima kasih,1
20,aplikasi nanggung banget login pingerprint untuk bayar topup indomaret alfamat topup jenius gagal tf baca virtual menu lengkap pas an aduh nangung banget app sekelas baca plis membenahi,nanggung banget login pingerprint untuk bayar topup indomaret alfamat topup jenius gagal tf baca virtual menu lengkap pas an aduh nangung banget app sekelas baca plis membenahi,-1
21,tanya masukkan uang dana pelajar ktp bingungnya minggu duit hangus jadi perak,tanya masukkan uang pelajar ktp bingungnya minggu duit hangus jadi perak,-1
22,parah parah aplikasi ovo masaa satu minggu sistem sibuk melulu transfer,parah parah masaa satu minggu sistem sibuk melulu transfer,-1
23,sms daftar install aplikasi kuota data gb daftar bayar pakai sms registrasi terus tahu fungsinya pastikan rugi kuota download buang buang pulsa registrasi urusan uang penting kalah permainan onlen jalan memaksakan rugi konsumen bos ku,sms daftar install kuota data gb daftar bayar pakai sms registrasi terus tahu fungsinya pastikan rugi kuota download buang buang pulsa registrasi urusan uang penting kalah permainan onlen jalan memaksakan rugi konsumen bos ku,-1
24,update full servis tanggapan pihak linkaja tercantup linkaja kali jam iniudah kali jam respon disitu mengecewakan,update full servis tanggapan pihak tercantup kali jam iniudah kali jam respon disitu mengecewakan,-1
25,kembalikan saldo dana tanggal agustus jam pagi beli pulsa riwayat transaksi tertulis kadaluarsa saldo dikembalikan,kembalikan saldo tanggal agustus jam pagi beli pulsa riwayat transaksi tertulis kadaluarsa saldo dikembalikan,-1
26,akhir jadi susah login blsn sms dproses dcb kmudian instal ulang,akhir jadi susah login blsn sms dproses dcb kmudian instal ulang,-1
27,aplikasi bagus banget membantu keperluan mendadak transfer mudah ribet cepat pulsa listrik habis pokok keren banget,bagus banget membantu keperluan mendadak transfer mudah ribet cepat pulsa listrik habis pokok keren banget,1
28,aplikasi sebelah lebih baik pakai jelek lebih baik sumpah beroo harga mahal murah bayar top up cepat pakai ribet lebih baik pilih,sebelah lebih baik pakai jelek lebih baik sumpah beroo harga mahal murah bayar top up cepat pakai ribet lebih baik pilih,1
29,aplikasi lumayan membantu kali top up rekening udah kepotong gamasuk saldo link aneh rugi,lumayan membantu kali top up rekening udah kepotong gamasuk saldo link aneh rugi,-1
30,recomended untuk aplikasi aplikasi berguna banget menu memudahkan untuk transaksi transfer tarik tunai beli pulsa data asuransi bayar listrik pdam internet pembayarannya simple no ribet ribet pakai cukup scan tunjukkan token aplikasi langsung bayar melakukan transaksi menggunakan satu aplikasi pokoknya download,recomended untuk berguna banget menu memudahkan untuk transaksi transfer tarik tunai beli pulsa data asuransi bayar listrik pdam internet pembayarannya simple no ribet ribet pakai cukup scan tunjukkan token langsung bayar melakukan transaksi menggunakan satu pokoknya download,1
31,maaf bintang dana makinn lambat masa transfer menunggu jam tulisan kirim klik terus mesti hapus donload butuh waktu,maaf bintang makinn lambat masa transfer menunggu jam tulisan kirim klik terus mesti hapus donload butuh waktu,-1
32,kartu hilang masuk akun ovo veripikasi karma habis login jalan terbaik masuk akun ovo soalnya kartu hilang petunjuk,kartu hilang masuk akun veripikasi karma habis login jalan terbaik masuk akun soalnya kartu hilang petunjuk,-1
33,akun ku login saldo kode salah terus ganti ganti pin tetap min saldo,akun ku login saldo kode salah terus ganti ganti pin tetap min saldo,-1
34,berulang kali upgride premium photo ktp kurang jelas kesalahan capil mengurus ktp mampus susahnya lengkapi paspojuga kemarin sim tolonglah rumit aplikasi ktp digunakan persepsi orang buruk dana,berulang kali upgride premium photo ktp kurang jelas kesalahan capil mengurus ktp mampus susahnya lengkapi paspojuga kemarin sim tolonglah rumit ktp digunakan persepsi orang buruk,-1
35,mbak masa bulan bulan isi saldo dana banget proses top up masa masuknya tindaklanjuti,mbak masa bulan bulan isi saldo banget proses top up masa masuknya tindaklanjuti,-1
36,proses pembayaran jam bertambah limit main puas bahagia permainan menghasilkan namanya waising time terimakasih,proses pembayaran jam bertambah limit main puas bahagia permainan menghasilkan namanya waising time terimakasih,-1
37,kak cara bayar pln non tagihan listrik gak lengkapi menu mbayaran pln,kak cara bayar pln non tagihan listrik gak lengkapi menu mbayaran pln,-1
38,tanya nomor sakuku diganti nomor aktif sejumlah uang didalam diminta verifikasi nomor aktif,tanya nomor diganti nomor aktif sejumlah uang didalam diminta verifikasi nomor aktif,-1
39,aplikasi cerita suruh top up top up promo giliran top up dibatasi walah membantu tanggung,cerita suruh top up top up promo giliran top up dibatasi walah membantu tanggung,-1
40,isi saldo pertama jta baca review bulan juli kebanyakan komplain ngeri jadinya,isi saldo pertama jta baca review bulan juli kebanyakan komplain ngeri jadinya,-1
41,bintang bintang respon kurang orang masuk suruh kirim data saldo ter akhir riwayat transaksi udah masuk gimana klanjutan aplikasi atas nama candra hendarsah kecewa,bintang bintang respon kurang orang masuk suruh kirim data saldo ter akhir riwayat transaksi udah masuk gimana klanjutan atas nama candra hendarsah kecewa,-1
42,beruntung special orang ter menerima saku ku baca tanda cinta ber ragam loh,beruntung special orang ter menerima ku baca tanda cinta ber ragam loh,-1
43,aplikasi ovo digunakan untuk pembayaran kepentingan semoga bermanfaat untuk orang kepentingan pembayaran terima atas perhatiannya,digunakan untuk pembayaran kepentingan semoga bermanfaat untuk orang kepentingan pembayaran terima atas perhatiannya,1
44,top up adminnya mahal lebih baik masalah kurang kayak app dana link biaya admin ovo penghasilan app ovo kurang dijawab developer biaya admin,top up adminnya mahal lebih baik masalah kurang kayak app link biaya admin penghasilan app kurang dijawab developer biaya admin,-1
45,aplikasi ancrit ubah nomer handphone ribet banget dirubah lewat aplikasi disuruh telepon cs habis ribu pulsa telepon cs login nomer kecewa malas pakai ovo logout,ancrit ubah nomer handphone ribet banget dirubah lewat disuruh telepon cs habis ribu pulsa telepon cs login nomer kecewa malas pakai logout,-1
46,download semalam aplikasi terkunci kode pin salah salah kode pin masukkan kemarin perbaiki aplikasinya perbaiki lebih baik hapus kasihan pengguna saldo melakukan pembelian pembayaran nyangkut pihak ovo ingat cari uang susah payah mencuri keluahan tanggapi serius masalah uang sekedar aplikasi bermasalah,download semalam terkunci kode pin salah salah kode pin masukkan kemarin perbaiki aplikasinya perbaiki lebih baik hapus kasihan pengguna saldo melakukan pembelian pembayaran nyangkut pihak ingat cari uang susah payah mencuri keluahan tanggapi serius masalah uang sekedar bermasalah,-1
47,login akun kerja pusing cok wes komplain lewat ubeng ubengno marai tambah pusing jane cs iso menyelesaikan masalah pora nek raiso tutupen cok aplikasi dana merugikan orang,login akun kerja pusing cok wes komplain lewat ubeng ubengno marai tambah pusing jane cs iso menyelesaikan masalah pora nek raiso tutupen cok merugikan orang,-1
48,ya aplikasi dana error aplikasinya muncul notifikasi dana menanggapi bantuan perbaikannya,ya error aplikasinya muncul notifikasi menanggapi bantuan perbaikannya,-1
49,buset habis top up terus isi pulsa kekirim parah saldo udah kepotong pulsanya masuk mah minta tanggung jawabnya,buset habis top up terus isi pulsa kekirim parah saldo udah kepotong pulsanya masuk mah minta tanggung jawabnya,-1
50,kecewa punya saldo dana gak ambil ktp jadi pakai dokumen sim foto gagal terus,kecewa punya saldo gak ambil ktp jadi pakai dokumen sim foto gagal terus,-1
51,aplikasi dompet digital bagus alhamdulillah verifikasi akun untuk upgrade dana premium awalnya verifikasi nik terpakai kali upgrade dana premium nik kedepannya diperbaiki apl dana penggunanya nyaman,dompet digital bagus alhamdulillah verifikasi akun untuk upgrade premium awalnya verifikasi nik terpakai kali upgrade premium nik kedepannya diperbaiki apl penggunanya nyaman,1
52,benar pwnya habis masukkan pwnya muncul kata kata menghubungi customer service pas hubungi panggilan dpat lakukan maksudnya coba turunin bintangnya uninstal,benar pwnya habis masukkan pwnya muncul kata kata menghubungi customer service pas hubungi panggilan dpat lakukan maksudnya coba turunin bintangnya uninstal,-1
53,suka banget aplikasi aplikasi memudahkan untuk beli token listrik beli pulsa bayar gojek grabfood pokoknya aplikasi membantu banget deh yuk download aplikasi,suka banget memudahkan untuk beli token listrik beli pulsa bayar gojek grabfood pokoknya membantu banget deh yuk download,1
54,melakukan upgrade ovo premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya aplikasi mempermudah penggunanya maaf bintang,melakukan upgrade premier gagal uplod foto ktp kondisi ktp baik pencahayaan baik diperbaiki sistemnya mempermudah penggunanya maaf bintang,-1
55,aplikasi memudahkan trf bank kurang masalah harga kalah jauh harga pasaran,memudahkan trf bank kurang masalah harga kalah jauh harga pasaran,1
56,log tulisan system sibuk klik informasi aplikasi hapus data log semoga membantu langsung menyalahkan pihak terkait banyak bicara tidak bisa aplikasi dompet digital ketimbang banyak bicara menghujat mix sesuai selera,log tulisan system sibuk klik informasi hapus data log semoga membantu langsung menyalahkan pihak terkait banyak bicara tidak bisa dompet digital ketimbang banyak bicara menghujat mix sesuai selera,-1
57,insentif prakerja tanggal juni cair punya teman teman pakai gopay cair,insentif prakerja tanggal juni cair punya teman teman pakai gopay cair,-1
58,susah kirim uang muncul layanan ditingkatkan mencoba kayak terus deh menunggu,susah kirim uang muncul layanan ditingkatkan mencoba kayak terus deh menunggu,-1
59,install langsung top up habis beli kuota internet saldonya kurang kuotanya masuk mantap lapor via email respon pertama terakhir bye bye,install langsung top up habis beli kuota internet saldonya kurang kuotanya masuk mantap lapor via email respon pertama terakhir bye bye,-1
60,verfikasi gagal terus akal akalan baca ambil pulsa doang apanya bagus,verfikasi gagal terus akal akalan baca ambil pulsa doang apanya bagus,-1
61,aplikasinya bagus sayang untuk bukti faktur penjualan edit jadi untuk pemakain pribadi enak untuk jual untng bukti faktur bosa edit,aplikasinya bagus sayang untuk bukti faktur penjualan edit jadi untuk pemakain pribadi enak untuk jual untng bukti faktur bosa edit,1
62,kecewa soalnya plajar punya penghasilan eh tahu tarik tunai upgrade premium punya ktp jadi saldo dana kumpulin sia doang meminta pihak dana upgrade premium gak usah ribet banget peljr pakai aplikasi dana doangg pengguna aplikasi dana gak kecewa ngomong-ngomong tingkatkan ya saran terima kasih,kecewa soalnya plajar punya penghasilan eh tahu tarik tunai upgrade premium punya ktp jadi saldo kumpulin sia doang meminta pihak upgrade premium gak usah ribet banget peljr pakai doangg pengguna gak kecewa ngomong-ngomong tingkatkan ya saran terima kasih,-1
63,beli paketan terus batal malu akun saldo sayang banget terpakai trf upgrade payah,beli paketan terus batal malu akun saldo sayang banget terpakai trf upgrade payah,-1
64,menemukan aplikasi linkaja serasa menemukan jodoh kenyamanan keamanan mantap pertahankan terus kembangkan digunakan untuk transaksi bayar tokopedia bayar bbm mypertamina ovo gopay bayar listrik pdam pulsa dan lain-lain gunakan untuk bayar tiket kereta terima kasih linkaja,menemukan serasa menemukan jodoh kenyamanan keamanan mantap pertahankan terus kembangkan digunakan untuk transaksi bayar tokopedia bayar bbm mypertamina gopay bayar listrik pdam pulsa dan lain-lain gunakan untuk bayar tiket kereta terima kasih,1
65,membantu aktivitas sehari terima kasih linkaja tetap komitmen menjaga layanan menjadi kedepannya,membantu aktivitas sehari terima kasih tetap komitmen menjaga layanan menjadi kedepannya,1
66,untuk top up dilakukan alfa indoma susah top up lewat bank,untuk top up dilakukan alfa indoma susah top up lewat bank,-1
67,dulunya enak enak dipakai lancar kali error transfer saldo paypal dana laporan transaksi paypal selesai uangnya masuk akun dana solusinya,dulunya enak enak dipakai lancar kali error transfer saldo paypal laporan transaksi paypal selesai uangnya masuk akun solusinya,-1
68,ampun benar ngecewain udah top up bayar jadi susah masak pin udah benar salah terus,ampun benar ngecewain udah top up bayar jadi susah masak pin udah benar salah terus,-1
69,menjadi seseorang alamualaikum mas ovo masukan netijen kedepannya mesin atm setor tarik khusus ovo anak pesantren bayar juta pakai scan ovo transfer bank biaya adminnya anak bayarannya kurang kepotong admin coba mas ovo kasihan anaknya bayaran pakai ovo,menjadi seseorang alamualaikum mas masukan netijen kedepannya mesin atm setor tarik khusus anak pesantren bayar juta pakai scan transfer bank biaya adminnya anak bayarannya kurang kepotong admin coba mas kasihan anaknya bayaran pakai,-1
70,memberikan keluhan play store jawaban suruh balas lewat email itupun memberikan solusi tepat balas pertanyaan berikan pelayanan baik benar pengguna akun dana merasa puas,memberikan keluhan play store jawaban suruh balas lewat email itupun memberikan solusi tepat balas pertanyaan berikan pelayanan baik benar pengguna akun merasa puas,-1
71,mengisi saldo dana akun tiba tiba dibuat untuk transfer membayar apapun mencoba menghubungi cs lewat whatsapp email tetap balasan minggu menunggu solusinya cape uang ketahan terus dipakai transfer,mengisi saldo akun tiba tiba dibuat untuk transfer membayar apapun mencoba menghubungi cs lewat whatsapp email tetap balasan minggu menunggu solusinya cape uang ketahan terus dipakai transfer,-1
72,kak udah masukkan nomor lupa pin pencet lupa pin kirim kode digit terkirim,kak udah masukkan nomor lupa pin pencet lupa pin kirim kode digit terkirim,-1
73,sok banget gagal melulu pas upgrade untuk kirim uang berusaha blur foto ktp foto muka berkali gagal melulu sok deh nyulit prosesnya permudah urusan orang menghina kamera handphone sok belagu malas,sok banget gagal melulu pas upgrade untuk kirim uang berusaha blur foto ktp foto muka berkali gagal melulu sok deh nyulit prosesnya permudah urusan orang menghina kamera handphone sok belagu malas,-1
74,miris disalah gunakan untuk aplikasi contonya penipuan onlen meminta no rek digit kartu memasukan pin otomatis saldo berada atm terkuras habis oknum bertanggung jawab ditindak lanjuti terima kasih,miris disalah gunakan untuk contonya penipuan onlen meminta no rek digit kartu memasukan pin otomatis saldo berada atm terkuras habis oknum bertanggung jawab ditindak lanjuti terima kasih,-1
75,terima atas kerja samanya penuh manfaat cepat tepat akurat pelayanan seandainya kekurangannya semoga kedepannya update perbaikan mantap,terima atas kerja samanya penuh manfaat cepat tepat akurat pelayanan seandainya kekurangannya semoga kedepannya update perbaikan mantap,1
76,mengirim uang rekening masuk masuk tulisan riwayatnya berhasil gak masuk masuk rekening pengiriman aneh,mengirim uang rekening masuk masuk tulisan riwayatnya berhasil gak masuk masuk rekening pengiriman aneh,-1
77,gak upgrade premium susah verifikasi muka malas kayak email gak respon,gak upgrade premium susah verifikasi muka malas kayak email gak respon,-1
78,terima aplikasi linkaja membantu membayar pln pulsa tv kabel pdam transportasi mudah mengakses baik suka aplikasi linkaja membantu semoga maju kedepannya yakin kedepannya membantu masyarakat indonesia untuk memudahkan akses pembayaran secara onlen sukses ya jaya jaya jaya,terima membantu membayar pln pulsa tv kabel pdam transportasi mudah mengakses baik suka membantu semoga maju kedepannya yakin kedepannya membantu masyarakat indonesia untuk memudahkan akses pembayaran secara onlen sukses ya jaya jaya jaya,1
79,verifikasi upgrade premium loadingnya berjam jam upgrade bintang satu aplikasi ribet sedunia berat banget aplikasinya loding,verifikasi upgrade premium loadingnya berjam jam upgrade bintang satu ribet sedunia berat banget aplikasinya loding,-1
80,beli pulsa bayar tagihan listrik pdam wifi tinggal klik klik beres lunas perlu keluar antri panas panasan simpel praktis mudah,beli pulsa bayar tagihan listrik pdam wifi tinggal klik klik beres lunas perlu keluar antri panas panasan simpel praktis mudah,1
81,masuk akun dana kode otp kirim mhon bantuan ganti handphone dowload ulang instal akun dana login kode otp kirim cekk kembali kendala akun dana terblokir,masuk akun kode otp kirim mhon bantuan ganti handphone dowload ulang instal akun login kode otp kirim cekk kembali kendala akun terblokir,-1
82,download aplikasi aplikasi jaman dulu upgrade premium ribet connect dukcapil terima ktp scan digital kakak scan digital maunya difoto sop jaman dulu cs jaman dulu donwload aplikasi,download jaman dulu upgrade premium ribet connect dukcapil terima ktp scan digital kakak scan digital maunya difoto sop jaman dulu cs jaman dulu donwload,-1
83,woy beli pulsa ribu lewat ovo pulsa masuk saldo hilang ngotak dikit,woy beli pulsa ribu lewat pulsa masuk saldo hilang ngotak dikit,-1
84,knph ulasan hapus aplikasi sampah sebarin orang teripu deng aplikasi tolol ovo,knph ulasan hapus sampah sebarin orang teripu deng tolol,-1
85,payah banget top up ribu masuk ribu katanya biaya admin namanya pemerasan biaya top up awal ribu kesepakatan namanya maling saldo,payah banget top up ribu masuk ribu katanya biaya admin namanya pemerasan biaya top up awal ribu kesepakatan namanya maling saldo,-1
86,baik top up via atm mempermudah pengguna non nasabah baca tambah fitur untuk transfer virtual account transfer bank tambah fitur isi flash sakuku berkembang pengguna layanan sakuku setengah hati contohnya top up via rekening baca,baik top up via atm mempermudah pengguna non nasabah baca tambah fitur untuk transfer virtual account transfer bank tambah fitur isi flash berkembang pengguna layanan setengah hati contohnya top up via rekening baca,-1
87,top up seminggu masuk min hubungi dana care balasan antrian penuh kayak tanggung jawab respon terima,top up seminggu masuk min hubungi care balasan antrian penuh kayak tanggung jawab respon terima,-1
88,transfer rekening baca dimasukan no rekening nominal transfer muncul atas nama penerima logo baca pencarian error,transfer rekening baca dimasukan no rekening nominal transfer muncul atas nama penerima logo baca pencarian error,-1
89,kesal masa tf tf terus pngsinya aplikasi transfer woy bis perbaiki aplikasi saldo mebes,kesal masa tf tf terus pngsinya transfer woy bis perbaiki saldo mebes,-1
90,aplikasi berguna melakukan aplikasi download buang buang kuota saran download lebih baik download seblum menyesal kuotanya kepotong untuk download dipakai payah,berguna melakukan download buang buang kuota saran download lebih baik download seblum menyesal kuotanya kepotong untuk download dipakai payah,-1
91,tingkat untuk kerjasama memudahkan pembayaran berbagai pelayanan cth pembayaran oksigen tv mudah terkontrol terima kasih,tingkat untuk kerjasama memudahkan pembayaran berbagai pelayanan cth pembayaran oksigen tv mudah terkontrol terima kasih,-1
92,aplikasinya nggam bagus log verivikasih eh keluar disuruh masukan nomer niat akun lebih baik usah akun uangya ngumpulin snack video sabar giliran tf dana nggam log mencari tambahan kebutuhan anakku perbaiki,aplikasinya nggam bagus log verivikasih eh keluar disuruh masukan nomer niat akun lebih baik usah akun uangya ngumpulin snack video sabar giliran tf nggam log mencari tambahan kebutuhan anakku perbaiki,-1
93,aplikasi dana terbuka update mencoba menghapus download kembali tapu verifikasi berhasil eh kembali awal disuruh masukan nomor telepon berulang ulang kali terus raisa folkow instagram ku kecewa,terbuka update mencoba menghapus download kembali tapu verifikasi berhasil eh kembali awal disuruh masukan nomor telepon berulang ulang kali terus raisa folkow instagram ku kecewa,-1
94,pengguna sakuku belanja indomaternyata pakai sakuku melayani indomasudah fasilitas edc dipakai bayar sakuku dipakai tempat diajak kerjasama mesin edc dimanapun dipakai,pengguna belanja indomaternyata pakai melayani indomasudah fasilitas edc dipakai bayar dipakai tempat diajak kerjasama mesin edc dimanapun dipakai,-1
95,jujur cs naik pitan mengaktifkan aktif tanya berbelit kayak pemilik nomor dipakai telepon nomor didaftarkan nama benar tanya sungguh menjengkelkan,jujur cs naik pitan mengaktifkan aktif tanya berbelit kayak pemilik nomor dipakai telepon nomor didaftarkan nama benar tanya sungguh menjengkelkan,-1
96,apl burik tidak bisa andelin tf ovo bank susah meminta ampun gagal terus eror signal bagus ovo bagus apl menyesal download hapus saldo tarik gagal pigoblogen,apl burik tidak bisa andelin tf bank susah meminta ampun gagal terus eror signal bagus bagus apl menyesal download hapus saldo tarik gagal pigoblogen,-1
