,raw,processed,labels
97,update bagus aplikasinya update aplikasinya mentog dilogo terus balik untuk perbaiki aplikasinya,update bagus aplikasinya update aplikasinya mentog dilogo terus balik untuk perbaiki aplikasinya,-1
98,halo pemakai dana dompet maaf bintang komentarnya luar banget seram coba deh diperbaiki namamu baik jadi baik buruk sediakan fasilitas keluhan telpon email pengguna menghunakan email saran ditinggalkan pemakai jasa tzx,halo pemakai dompet maaf bintang komentarnya luar banget seram coba deh diperbaiki namamu baik jadi baik buruk sediakan fasilitas keluhan telpon email pengguna menghunakan email saran ditinggalkan pemakai jasa tzx,-1
99,untuk pengembalian dana gagal transfer lumayan cepat butuh semoga baik untuk kedepannya,untuk pengembalian gagal transfer lumayan cepat butuh semoga baik untuk kedepannya,-1
100,beli pulsa transfer uang cepat hitungan detik mudah bagus terus gngguan performa bagus tingkatkan,beli pulsa transfer uang cepat hitungan detik mudah bagus terus gngguan performa bagus tingkatkan,-1
101,bintang memberikan bintang tiba nelpon bapaknya bintang aplikasi bintang note semoga baik pelayanannya semoga sadar,bintang memberikan bintang tiba nelpon bapaknya bintang bintang note semoga baik pelayanannya semoga sadar,-1
102,parah berat banget loadingnya upraged premium gak beli pulsa gak perbaiki kaya terus pindah,parah berat banget loadingnya upraged premium gak beli pulsa gak perbaiki kaya terus pindah,-1
103,pengguna upgrade ovo premier top up transfer genting mencoba sign out terus sign tetap diperbaiki,pengguna upgrade premier top up transfer genting mencoba sign out terus sign tetap diperbaiki,-1
104,tidak bisa tf bank astaga enak apknya kayak ovo premier enak gitu tf kemana gabsa mengecewakan,tidak bisa tf bank astaga enak apknya kayak premier enak gitu tf kemana gabsa mengecewakan,-1
105,mendownload link menggunakan untuk menghubungkan wallet diakun prakerja katanya bagus cepat pencairan dana download daftar tanggal maret dana ditransfer tanggal maret dana insentif prakerjaku masuk ditransfer upgrade kecewa memakan waktu bayangkan,mendownload link menggunakan untuk menghubungkan wallet diakun prakerja katanya bagus cepat pencairan download daftar tanggal maret ditransfer tanggal maret insentif prakerjaku masuk ditransfer upgrade kecewa memakan waktu bayangkan,-1
106,aplikasi login susah isi data datanya lupa daftar login pakai otp saldo raib ratusan ribu terimakasih sakuku,login susah isi data datanya lupa daftar login pakai otp saldo raib ratusan ribu terimakasih,-1
107,satu minggu komentar penilain pertama suruh email email balas sehari dua katanya jam aplikasi mengalami masalah konfirmasi lewat ig media pelangan tahu diam,satu minggu komentar penilain pertama suruh email email balas sehari dua katanya jam mengalami masalah konfirmasi lewat ig media pelangan tahu diam,-1
108,costumer service payah lambat banget pelayananya uang kepotong hitungan detik responnya hitungan detik orderan berikan alasan memuaskan,costumer service payah lambat banget pelayananya uang kepotong hitungan detik responnya hitungan detik orderan berikan alasan memuaskan,-1
109,membantu jualan jadi mudah pakai dompet digital bisnis jadi mudah semoga untuk kedepan baik permudah kendala dilay pas beli pulsa masuk dana bisnis menunggu semoga update kedepan perbaiki,membantu jualan jadi mudah pakai dompet digital bisnis jadi mudah semoga untuk kedepan baik permudah kendala dilay pas beli pulsa masuk bisnis menunggu semoga update kedepan perbaiki,1
110,sakuku membantu limit lnya harapan tambahan fitur fitur menarik untuk pengalaman maksimal,membantu limit lnya harapan tambahan fitur fitur menarik untuk pengalaman maksimal,1
111,instal aplikasi dana aplikasi diminta pin digit opsi lupa pin memakai opsi lupa pin masuk digit kode dikirim sms jadi,instal diminta pin digit opsi lupa pin memakai opsi lupa pin masuk digit kode dikirim sms jadi,-1
112,mengecewakan mudah proses cepat proses lambat mengadu gmail gak jwaban suruh menunggu jam terus jam link mengurus kompain customer,mengecewakan mudah proses cepat proses lambat mengadu gmail gak jwaban suruh menunggu jam terus jam link mengurus kompain customer,-1
113,dana membantu bertransaksi aplikasi keren lambat jadi susah transaksi kurang membantu untuk diperbaiki aplikasi dana,membantu bertransaksi keren lambat jadi susah transaksi kurang membantu untuk diperbaiki,-1
114,dana jaringan lancar kuota ngelag terus pas masuk dana banget prosesnya memperbaiki,jaringan lancar kuota ngelag terus pas masuk banget prosesnya memperbaiki,-1
115,dana uang kirim rekening baca terkirim stts menunggu dana disaldo deh kepotong uangnya kemana masuk rekening dtuju ribu jadi ribu drespon pihak dana,uang kirim rekening baca terkirim stts menunggu disaldo deh kepotong uangnya kemana masuk rekening dtuju ribu jadi ribu drespon pihak,-1
116,aplikasi membantu daerah tukang jual token listrik jauh untungnya ketemu aplikasi linkaja jadi perlu jauh jauh beli token listrik tinggal klik langsung terima linkaja ragu buruan download daftar menyesal linkaja benar benar membantu gratis,membantu daerah tukang jual token listrik jauh untungnya ketemu jadi perlu jauh jauh beli token listrik tinggal klik langsung terima ragu buruan download daftar menyesal benar benar membantu gratis,1
117,gajian kirim akun ovo ku cepat banget pas tarik akun rekening eror,gajian kirim akun ku cepat banget pas tarik akun rekening eror,-1
118,masuk top aplikasi wallet populer amanah jelas sistem cashbacknya menunggu dikomplain diproses masuk riwayat notifiksi cashback masuk saldo bonus ditelusuri transaski besarannya cashbacknya detailnya payah aplikasi wallet kelas bumn milik negara diketawain swasta aplikasi walletnya prudent jelas,masuk top wallet populer amanah jelas sistem cashbacknya menunggu dikomplain diproses masuk riwayat notifiksi cashback masuk saldo bonus ditelusuri transaski besarannya cashbacknya detailnya payah wallet kelas bumn milik negara diketawain swasta walletnya prudent jelas,-1
119,maaf edit ulasan memgucapkan terimakasih dana menjadi partmer terbaik transaksi keuangan tetap semangat teruslah berkembang untuk menjadi terbaik,maaf edit ulasan memgucapkan terimakasih menjadi partmer terbaik transaksi keuangan tetap semangat teruslah berkembang untuk menjadi terbaik,-1
120,dasar aplikasi mengeluarkan akun tahu tahu nomor ovo aktif akun mengeluarkan bilang aplikasi duit nyangkut ribu ng ganti nomor dipersulit kont bi,dasar mengeluarkan akun tahu tahu nomor aktif akun mengeluarkan bilang duit nyangkut ribu ng ganti nomor dipersulit kont bi,-1
121,aplikasi pin benar meminta verifikasi nomor nomor enggak pakai sayang uang didalamnya aplikasi merugikan orang,pin benar meminta verifikasi nomor nomor enggak pakai sayang uang didalamnya merugikan orang,-1
122,ovo tambah ribet konsumen kena potong transfer ovo gagal eror terus pokok ovo hancur perlu pakai ovo dana terpakai,tambah ribet konsumen kena potong transfer gagal eror terus pokok hancur perlu pakai terpakai,-1
123,aplikasi bagus ya isi pulsa tiga kali berturut turut saldo kepotong,bagus ya isi pulsa tiga kali berturut turut saldo kepotong,-1
124,sakuku namanya saku kantong ku baca uang hilang lari kantong baca tanggung jawab hiyahiyahiya,namanya kantong ku baca uang hilang lari kantong baca tanggung jawab hiyahiyahiya,-1
125,astaga sinyal ovo bapuk lagnya malam malam butuh pulsa pengen beli pulsa anjing,astaga sinyal bapuk lagnya malam malam butuh pulsa pengen beli pulsa anjing,-1
126,aplikasi dana masuk login peringatan menghubungi custumer server yang terhormat aplikasi dana perbaiki masuk,masuk login peringatan menghubungi custumer server yang terhormat perbaiki masuk,-1
127,ovo invest punya pas jual banget tunggu pas butuhnya jual ovo invest eh tungguin ketik tidak bisa solusinya kah admin,invest punya pas jual banget tunggu pas butuhnya jual invest eh tungguin ketik tidak bisa solusinya kah admin,-1
128,haallo pihak dana melakukan bantuan whatsab akihkan mengalami kerugian cukup besar memakai aplikasi memproses tiket ngeriperr member,haallo pihak melakukan bantuan whatsab akihkan mengalami kerugian cukup besar memakai memproses tiket ngeriperr member,-1
129,kurang lengkap menu untuk beli token pln untuk beli pulsa telekomunikasi minimal rp rp sakuku terdaftar metode bayar bukalapak lazada tokopedia toko onlen lainya,kurang lengkap menu untuk beli token pln untuk beli pulsa telekomunikasi minimal rp rp terdaftar metode bayar bukalapak lazada tokopedia toko onlen lainya,-1
130,benar benar kapok isi saldo ribu rekening kepotong saldo masuk masuk komplain suruh menunggu merugikan nasabah laporkan ojk media konsumen hati transaksi menggunakan linkaja uang aman dirugikan pandemi mengambil hak orang,benar benar kapok isi saldo ribu rekening kepotong saldo masuk masuk komplain suruh menunggu merugikan nasabah laporkan ojk media konsumen hati transaksi menggunakan uang aman dirugikan pandemi mengambil hak orang,-1
131,kecewa euy pengalaman pertama beli pulsa pakai voucer refund voucher hilang overall oke,kecewa euy pengalaman pertama beli pulsa pakai voucer refund voucher hilang overall oke,-1
132,parah gara update masuk dana tiba keluar tahu update mengecewakan penguna,parah gara update masuk tiba keluar tahu update mengecewakan penguna,-1
133,aplikasi dana kacau aplikasi eror trnsaksi pulsa trnsksi transfer dan lain-lain perbaiki butuh saldo untuk ambil,kacau eror trnsaksi pulsa trnsksi transfer dan lain-lain perbaiki butuh saldo untuk ambil,-1
134,beli paketan pulsa indosat pertama beli gagal coba berhasil saldo terpotong paketan gak masuk kecewa,beli paketan pulsa indosat pertama beli gagal coba berhasil saldo terpotong paketan gak masuk kecewa,-1
135,sakuku sakuku plus berbeda fungsi membedakan saldo maximum saran satu aplikasi cukup saldo tambahkan cukup satu kali registrasi simple jadi,plus berbeda fungsi membedakan saldo maximum saran satu cukup saldo tambahkan cukup satu kali registrasi simple jadi,-1
136,tanggu jawab ovo gakjelas top sebesar dibengking terkirim masak masuk saldo ovo ditanggapi masalah topup,tanggu jawab gakjelas top sebesar dibengking terkirim masak masuk saldo ditanggapi masalah topup,-1
137,fitur didalam siap dipasarkan komplen dana terdebet double tanggal juli meminta ulang ulang telf balik telf balik dihitung pulsa nelf dana terdebet besar pulsa nelf parah,fitur didalam siap dipasarkan komplen terdebet double tanggal juli meminta ulang ulang telf balik telf balik dihitung pulsa nelf terdebet besar pulsa nelf parah,-1
138,aplikasi ruwet beli pulsa barengan anehnya pembelian kedua nominal masuk pertama besar masuk udah motong saldo ruwet telpon cs hasilnya biaya telpon gede pulsa dibeli benar aplikasi cari duit kebangetan kai gandeng apkikasi kayak kai najis benernya pakai aplikasi,ruwet beli pulsa barengan anehnya pembelian kedua nominal masuk pertama besar masuk udah motong saldo ruwet telpon cs hasilnya biaya telpon gede pulsa dibeli benar cari duit kebangetan kai gandeng apkikasi kayak kai najis benernya pakai,-1
139,dana kembalikan pihak ovo bentuk saldo ovo tetap kecewa awal membuat buang tenanga waktu untuk mengkonfirmasi lewat kedua belah pihak lanjut ulangi ya ovo tingkatkan pelayanan service baik untuk coutemer terimakasih,kembalikan pihak bentuk saldo tetap kecewa awal membuat buang tenanga waktu untuk mengkonfirmasi lewat kedua belah pihak lanjut ulangi ya tingkatkan pelayanan service baik untuk coutemer terimakasih,-1
140,untuk prakerja lambat banget pengiriman jadwal tanggal cair tanggal cair aplikasi jelek lambat,untuk prakerja lambat banget pengiriman jadwal tanggal cair tanggal cair jelek lambat,-1
141,ovo masalah gak login akun pribadi mengira akun teman doang ternyata ngalamin perlu ripo,masalah gak login akun pribadi mengira akun teman doang ternyata ngalamin perlu ripo,-1
142,susah dibuka transfer uang diambil aplikasi dibuka satu bintang luarbiasa pengin bintang aplikasi dana pengeluhan via email mengecewakan tahu,susah dibuka transfer uang diambil dibuka satu bintang luarbiasa pengin bintang pengeluhan via email mengecewakan tahu,-1
143,mempersulit untuk top up proses kena tipu kode masuk masuk uang hilang asu asu,mempersulit untuk top up proses kena tipu kode masuk masuk uang hilang asu asu,-1
144,ovo sebel banget top up ternyata tidak bisa pakai belanja indomaret alfa top up pakai baca doang pakai bank kena admin diupdate,sebel banget top up ternyata tidak bisa pakai belanja indomaret alfa top up pakai baca doang pakai bank kena admin diupdate,-1
145,ayo hapus ovo skrgg verivikasi dari tadi nomor masuk merugikan pakai dana bersahabat habis transfer dana ovo merugikan duit masuk,ayo hapus skrgg verivikasi dari tadi nomor masuk merugikan pakai bersahabat habis transfer merugikan duit masuk,-1
146,instal sakuku kali notifikasi card sim teregistrasi reinstal kartu sim dipindah coba reinstal daftarin gagal sms verifikasi gagal no aktif no dipakai pulsa masa aktifnya panjang saldo,instal kali notifikasi card sim teregistrasi reinstal kartu sim dipindah coba reinstal daftarin gagal sms verifikasi gagal no aktif no dipakai pulsa masa aktifnya panjang saldo,-1
147,urgent pakai acara daily limit cs tanya gak solusi disuruh tunggu bilang benaran urgent butuh dana,urgent pakai acara daily limit cs tanya gak solusi disuruh tunggu bilang benaran urgent butuh,-1
148,semenjak update salah kode security terus benar kode security error aplikasi ovo min jadi nyaman bertransaksi lewat ovo,semenjak update salah kode security terus benar kode security error min jadi nyaman bertransaksi lewat,-1
149,hadeeh pakai ovo bayar toped komen negatif jadi il fil deh takut tahan saldonya hmm daftar uninstall kira aman pakai ovo,hadeeh pakai bayar toped komen negatif jadi il fil deh takut tahan saldonya hmm daftar uninstall kira aman pakai,-1
150,tambahkan maps untuk letak atm pengambilan sakuku minim atm tarik tunai sakuku tambahkan transfer rekening memudahkan terimakasih,tambahkan maps untuk letak atm pengambilan minim atm tarik tunai tambahkan transfer rekening memudahkan terimakasih,-1
151,aplikasi berat penjahat kelamin android ugrade full service gagal terus difoto ktp katanya terbaca coba pakai android berhenti logo linkaja terus masuk solusinya,berat penjahat kelamin android ugrade full service gagal terus difoto ktp katanya terbaca coba pakai android berhenti logo terus masuk solusinya,-1
152,boros harga naik rupiah terus transfer bank biaya terus isi saldo fee potongan untuk bwh mulai lintah darat,boros harga naik rupiah terus transfer bank biaya terus isi saldo fee potongan untuk bwh mulai lintah darat,-1
153,ribet kali gagal smoa data ktp udah jelas gagal meningan delete,ribet kali gagal smoa data ktp udah jelas gagal meningan delete,-1
154,diperbaiki awal bulan agustus aplikasi dana masukkan nomor pin disuruh masukkan kode otp via sms sms masuk diperbaiki,diperbaiki awal bulan agustus masukkan nomor pin disuruh masukkan kode otp via sms sms masuk diperbaiki,-1
155,top up seminggu saldo bertambah bertambah aplikasi pokoknya saldo bertambah lihat hubungi via email sms respon,top up seminggu saldo bertambah bertambah pokoknya saldo bertambah lihat hubungi via email sms respon,-1
156,hai dana ya aplikasi memasukkan no otp akun terdaftar dana masukkin pin otp,hai ya memasukkan no otp akun terdaftar masukkin pin otp,-1
157,kerjasama akun dana premium transfer akun bank keluar tulisan maaf akun terverifikasi bantu annya kak,kerjasama akun premium transfer akun bank keluar tulisan maaf akun terverifikasi bantu annya kak,-1
158,akun dana langsung verifikasi menarik dana tik tok dana tiba keluar suruh masuk situ bacaan aman akun masuk,akun langsung verifikasi menarik tik tok tiba keluar suruh masuk situ bacaan aman akun masuk,-1
159,dana menurun system bayar tagihan wifi pulsa listrik beli paket data pakai dana suka hilang fitur pembayaran aneh,menurun system bayar tagihan wifi pulsa listrik beli paket data pakai suka hilang fitur pembayaran aneh,-1
160,app waktu pakai os kitkat pakai os lollypop dibuka tulisannya maaf ponsel melakukan registrasi sakuku hubungi halobca ditelp solusi pulsa terpotong ribu an,app waktu pakai os kitkat pakai os lollypop dibuka tulisannya maaf ponsel melakukan registrasi hubungi halobca ditelp solusi pulsa terpotong ribu an,-1
161,kecewa pelayanan dana care komplain diselesaikan mengajukan komplain email dana care jam tanggal juni disegerakan,kecewa pelayanan care komplain diselesaikan mengajukan komplain email care jam tanggal juni disegerakan,-1
162,mengerti pakai dana tidak usah instal orang aplikasi nyaman banget menarik uang alfa beli kuota bayar pakai dana beli pakai dana sumpah nyaman banget,mengerti pakai tidak usah instal orang nyaman banget menarik uang alfa beli kuota bayar pakai beli pakai sumpah nyaman banget,-1
163,susah masuk dana premium chat nggak balas balas lambat kurang senang kurang respon,susah masuk premium chat nggak balas balas lambat kurang senang kurang respon,-1
164,akun login pas masukkan nomor pin muncul tulisan aktif cara aktifin bgaimana min respons,akun login pas masukkan nomor pin muncul tulisan aktif cara aktifin bgaimana min respons,-1
165,muhammad faisal beli mobil mobil kerumah bawa duit ces ratus juta,muhammad faisal beli mobil mobil kerumah bawa duit ces ratus juta,1
166,maaf kecewa gak isi plz pembayaran lazada ya saldo terisi data lengkapi,maaf kecewa gak isi plz pembayaran lazada ya saldo terisi data lengkapi,-1
167,ovo mudah gunakan pelayanan serba cepat jadi menurut recomended banget untuk memudahkan transaksi rumah,mudah gunakan pelayanan serba cepat jadi menurut recomended banget untuk memudahkan transaksi rumah,1
168,kemudahan transaksi membuat pengguna dilayani kenyamanan pembayaran dana menjaga pengguna pelayanan mengedepankan prinsip financial konsistensi semoga dana terus berkembang sejajar wallet,kemudahan transaksi membuat pengguna dilayani kenyamanan pembayaran menjaga pengguna pelayanan mengedepankan prinsip financial konsistensi semoga terus berkembang sejajar wallet,1
169,aplikasi dana wajib uninstall rakyat indonesia kinerja sistem team kesini kelihatan buruk jelek cara penanganan masalah pengguna menghubungi lewat email whatsapp telepon respon menemui solusi kata gagal penanganan masalah customer pengguna untuk dana memuaskan pelanggan baik mundur,wajib uninstall rakyat indonesia kinerja sistem team kesini kelihatan buruk jelek cara penanganan masalah pengguna menghubungi lewat email whatsapp telepon respon menemui solusi kata gagal penanganan masalah customer pengguna untuk memuaskan pelanggan baik mundur,-1
170,maaf bintang satu melakukan pembayaran kode qris saldo dana terpotong qris tujuan menerima uang dana tanya whatsapp suruh email tanya email suruh whatsapp terus ninta payah,maaf bintang satu melakukan pembayaran kode qris saldo terpotong qris tujuan menerima uang tanya whatsapp suruh email tanya email suruh whatsapp terus ninta payah,-1
171,aplikasi jrelerek gila benaran banget complen menarik saldonya soalnya kata sistem sibuk terus mengirim rekening bank,jrelerek gila benaran banget complen menarik saldonya soalnya kata sistem sibuk terus mengirim rekening bank,-1
172,menghubungi cs by email kirim ktp dan lain-lain tetap upgrade primer ktp rusak,menghubungi cs by email kirim ktp dan lain-lain tetap upgrade primer ktp rusak,-1
173,tampilan aplikasi mudah untuk dimengerti desainnya bagus aplikasi link membayar pendidikan jadi perlu bank untuk membayar uang kuliah tinggal beli investasi,tampilan mudah untuk dimengerti desainnya bagus link membayar pendidikan jadi perlu bank untuk membayar uang kuliah tinggal beli investasi,1
174,awalnya bagus kayakx aplikasi mencuri deh sumpah masa saldo ribu top up ribu cek saldo dana tinggal ribu naik turun,awalnya bagus kayakx mencuri deh sumpah masa saldo ribu top up ribu cek saldo tinggal ribu naik turun,-1
175,dana burik masa beli pulsa saldo berkurang pulsa masukk habis notif,burik masa beli pulsa saldo berkurang pulsa masukk habis notif,-1
176,aplikasinya mengesalkan transfer disuruh upgrade giliran upgrade susah banget mengurus capil app berlebihan,aplikasinya mengesalkan transfer disuruh upgrade giliran upgrade susah banget mengurus capil app berlebihan,-1
177,punya saldo dana pas tarik veripikasi premium pas klik gagal upload foto coba klik bantuan respon jadi uang tarik,punya saldo pas tarik veripikasi premium pas klik gagal upload foto coba klik bantuan respon jadi uang tarik,-1
178,pertama masuk dana ragu masuk dana ternyata memuaskan ragu bintang pokoknya dua jempollah dana sukses salam,pertama masuk ragu masuk ternyata memuaskan ragu bintang pokoknya dua jempollah sukses salam,-1
179,bertanya linkaja melakukan pembayaran bpjs kesehatan masukan nomor va nomor va virtual account betul,bertanya melakukan pembayaran bpjs kesehatan masukan nomor va nomor va virtual account betul,-1
180,aplikasi membantu mulai pembayaran digital belanja onlen beli pulsa token listrik dan lain-lain pokoknya pihak aplikasi pertahanin pelayanannya konsumennya merasa kecewa,membantu mulai pembayaran digital belanja onlen beli pulsa token listrik dan lain-lain pokoknya pihak pertahanin pelayanannya konsumennya merasa kecewa,1
181,selamat sore pak cara blokir linkaja soalnya lupa pin terblokir solusinya kah pak ibu,selamat sore pak cara blokir soalnya lupa pin terblokir solusinya kah pak ibu,-1
182,menunggu jam masa tidak bisa login transaksi urgent diprosesnya diemail membantu disuruh menunggu terus,menunggu jam masa tidak bisa login transaksi urgent diprosesnya diemail membantu disuruh menunggu terus,-1
183,mantul banget simpel praktis gak perlu rekening bank cukup aplikasi link guys tranfer bank enak admin untuk link tingkatkan kinerja semoga diberi panjang umur rezeki lancar amin jam oprasional soalnya teman kadang meminta pulsa tngah malam hehee,mantul banget simpel praktis gak perlu rekening bank cukup link guys tranfer bank enak admin untuk link tingkatkan kinerja semoga diberi panjang umur rezeki lancar amin jam oprasional soalnya teman kadang meminta pulsa tngah malam hehee,1
184,saran app sakuku untuk menambahkan fitur transfer bank transfer bank bri mandiri bank sinarmas maybank bni memudahkan pengguna sakuku transfer bank,saran app untuk menambahkan fitur transfer bank transfer bank bri mandiri bank sinarmas maybank bni memudahkan pengguna transfer bank,1
185,bagus saran menu perbanyak untuk transaksi onlain bayar beli token listrik bayar toko onlain,bagus saran menu perbanyak untuk transaksi onlain bayar beli token listrik bayar toko onlain,1
186,beli pulsa proses terus saldo terpotong pulsa terkirim beli token ribu proses terus saldo terpotong transaksi gak jelas no token gak parah,beli pulsa proses terus saldo terpotong pulsa terkirim beli token ribu proses terus saldo terpotong transaksi gak jelas no token gak parah,-1
187,membeli paket internet by menggunakan ovo tertulis transaksi dilakukan waktu detik detik transaksi dilakukan tahu permasalahannya aplikasi by ovo alami menggunakan atm aplikasi,membeli paket internet by menggunakan tertulis transaksi dilakukan waktu detik detik transaksi dilakukan tahu permasalahannya by alami menggunakan atm,-1
188,admin menganti nomor telpon nomor blokir memverifikasi ktp menggunakan aplikasi dana untuk bertransaksi bantuannya untuk menganti nomor telpon blokir terima salah hormat,admin menganti nomor telpon nomor blokir memverifikasi ktp menggunakan untuk bertransaksi bantuannya untuk menganti nomor telpon blokir terima salah hormat,-1
189,dana aplikasi langsung keluar update tetap terus dtanggapin butuh melakukan transaksi,langsung keluar update tetap terus dtanggapin butuh melakukan transaksi,-1
190,untuk developer tambahkan fitur pengaman finger print verifikasi wajah untuk pin log va tetangga close tutup aplikasi langsung terkunci terimakasih,untuk developer tambahkan fitur pengaman finger print verifikasi wajah untuk pin log va tetangga close tutup langsung terkunci terimakasih,1
191,alhamdulilah pihak dana me refund mengembalikan saldo dana kembali tingkatkan terus kualitasmu terjaga kepercayaan masukan untuk pihak cs ditingkatkan pelayanan konsemen sibuk terus sukses dana terima kasih pengertian,alhamdulilah pihak me refund mengembalikan saldo kembali tingkatkan terus kualitasmu terjaga kepercayaan masukan untuk pihak cs ditingkatkan pelayanan konsemen sibuk terus sukses terima kasih pengertian,-1
192,aplikasi mempersulit transfer uang masa transfer rekening bank menunggu bulan terus uang,mempersulit transfer uang masa transfer rekening bank menunggu bulan terus uang,-1
193,pengguna dana kecewa gunakan dana tambahkan bebas admin ya plis he,pengguna kecewa gunakan tambahkan bebas admin ya plis he,-1
194,halo tanya kak notifikasi ovo muncul butuh untuk memberi dukungan lewat trakteer,halo tanya kak notifikasi muncul butuh untuk memberi dukungan lewat trakteer,-1
195,kiriman pending saldo terpotong lapor pihak linkaja kirim email jawabanya memproses masalah kunjung proses menunggu terlanjur hilang target hilang uang uang uang loh,kiriman pending saldo terpotong lapor pihak kirim email jawabanya memproses masalah kunjung proses menunggu terlanjur hilang target hilang uang uang uang loh,-1
196,kemarin nyaman loading tap kali loading tap kali doble pas kirim uang meminta pin kali tahu taunya uang kirimjga doble perbaiki respon cepat aplikasi,kemarin nyaman loading tap kali loading tap kali doble pas kirim uang meminta pin kali tahu taunya uang kirimjga doble perbaiki respon cepat,-1
197,kocak gak token vocer diskon topup gak kayak pertama memakai dana diskon mah gak,kocak gak token vocer diskon topup gak kayak pertama memakai diskon mah gak,-1
198,menyampaikan pendapat semoga layanan syariah link top up saldo bsi biaya admin,menyampaikan pendapat semoga layanan syariah link top up saldo bsi biaya admin,-1
199,download ovo top up coba untuk isi pulsa lakukan berulang ulang tetap bantu salah ovo,download top up coba untuk isi pulsa lakukan berulang ulang tetap bantu salah,-1
200,aplikasi bagus berguna lumayan untuk aplikasi masalah waktu aplikasi loading jadi perbaiki terima,bagus berguna lumayan untuk masalah waktu loading jadi perbaiki terima,1
